Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Fungus_26_2	(220, 4.0)	(221, 0.0)	(222, 2.0)	(223, 1.0)	(224, 0.0)	(225, 2.0)	(226, 0.0)	(227, 8.0)	(228, 5.0)	(229, 3.0)	(230, 16.0)	(231, 21.0)	(232, 13.0)	(233, 13.0)	(234, 5.0)	(235, 15.0)	(236, 29.0)	(237, 30.0)	(238, 33.0)	(239, 3.0)	(240, 1.0)	(241, 2.0)	(242, 19.0)	(243, 115.0)	(244, 554.0)	(245, 7677.0)	(246, 9041.0)	(247, 8831.0)	(248, 9243.0)	(249, 10259.0)	(250, 10199.0)
Fungus_42_1	(221, 1.0)	(222, 0.0)	(223, 0.0)	(224, 0.0)	(225, 0.0)	(226, 0.0)	(227, 2.0)	(228, 0.0)	(229, 1.0)	(230, 0.0)	(231, 0.0)	(232, 5.0)	(233, 3.0)	(234, 2.0)	(235, 9.0)	(236, 1.0)	(237, 2.0)	(238, 0.0)	(239, 2.0)	(240, 6.0)	(241, 1.0)	(242, 9.0)	(243, 61.0)	(244, 506.0)	(245, 11182.0)	(246, 15719.0)	(247, 11367.0)	(248, 2836.0)	(249, 2983.0)	(250, 6647.0)	
Fungus_42_2	(220, 1.0)	(221, 0.0)	(222, 4.0)	(223, 0.0)	(224, 4.0)	(225, 3.0)	(226, 1.0)	(227, 0.0)	(228, 0.0)	(229, 0.0)	(230, 2.0)	(231, 3.0)	(232, 5.0)	(233, 5.0)	(234, 1.0)	(235, 3.0)	(236, 10.0)	(237, 11.0)	(238, 2.0)	(239, 2.0)	(240, 7.0)	(241, 8.0)	(242, 26.0)	(243, 44.0)	(244, 231.0)	(245, 7467.0)	(246, 8106.0)	(247, 8093.0)	(248, 8868.0)	(249, 9161.0)	(250, 9277.0)
Fungus_45_1	(220, 9.0)	(221, 18.0)	(222, 7.0)	(223, 8.0)	(224, 19.0)	(225, 3.0)	(226, 6.0)	(227, 8.0)	(228, 6.0)	(229, 18.0)	(230, 8.0)	(231, 11.0)	(232, 6.0)	(233, 1.0)	(234, 13.0)	(235, 8.0)	(236, 11.0)	(237, 37.0)	(238, 677.0)	(239, 15.0)	(240, 99.0)	(241, 89.0)	(242, 118.0)	(243, 284.0)	(244, 1094.0)	(245, 15457.0)	(246, 20428.0)	(247, 14029.0)	(248, 2870.0)	(249, 3046.0)	(250, 9457.0)
Fungus_45_2	(220, 2.0)	(221, 2.0)	(222, 14.0)	(223, 4.0)	(224, 6.0)	(225, 1.0)	(226, 3.0)	(227, 2.0)	(228, 6.0)	(229, 20.0)	(230, 17.0)	(231, 10.0)	(232, 6.0)	(233, 3.0)	(234, 9.0)	(235, 3.0)	(236, 9.0)	(237, 20.0)	(238, 19.0)	(239, 18.0)	(240, 58.0)	(241, 38.0)	(242, 145.0)	(243, 206.0)	(244, 868.0)	(245, 9154.0)	(246, 10748.0)	(247, 10737.0)	(248, 11326.0)	(249, 12308.0)	(250, 12098.0)
Fungus_4_1	(220, 4.0)	(221, 3.0)	(222, 2.0)	(223, 5.0)	(224, 2.0)	(225, 0.0)	(226, 13.0)	(227, 7.0)	(228, 14.0)	(229, 4.0)	(230, 6.0)	(231, 12.0)	(232, 3.0)	(233, 11.0)	(234, 7.0)	(235, 7.0)	(236, 16.0)	(237, 4.0)	(238, 16.0)	(239, 9.0)	(240, 81.0)	(241, 2397.0)	(242, 2257.0)	(243, 2171.0)	(244, 2521.0)	(245, 15717.0)	(246, 15944.0)	(247, 13523.0)	(248, 8064.0)	(249, 6019.0)	(250, 10970.0)
Fungus_4_2	(220, 1.0)	(221, 0.0)	(222, 0.0)	(223, 0.0)	(224, 0.0)	(225, 1.0)	(226, 3.0)	(227, 1.0)	(228, 3.0)	(229, 1.0)	(230, 4.0)	(231, 1.0)	(232, 5.0)	(233, 4.0)	(234, 6.0)	(235, 5.0)	(236, 6.0)	(237, 3.0)	(238, 6.0)	(239, 12.0)	(240, 80.0)	(241, 2074.0)	(242, 1182.0)	(243, 1540.0)	(244, 3003.0)	(245, 12895.0)	(246, 13168.0)	(247, 10181.0)	(248, 11328.0)	(249, 11883.0)	(250, 12413.0)
Fungus_70_1	(220, 1.0)	(221, 1.0)	(222, 1.0)	(223, 0.0)	(224, 1.0)	(225, 4.0)	(226, 2.0)	(227, 0.0)	(228, 2.0)	(229, 0.0)	(230, 2.0)	(231, 2.0)	(232, 4.0)	(233, 4.0)	(234, 1.0)	(235, 10.0)	(236, 12.0)	(237, 9.0)	(238, 6.0)	(239, 3.0)	(240, 19.0)	(241, 22.0)	(242, 26.0)	(243, 80.0)	(244, 390.0)	(245, 15254.0)	(246, 18940.0)	(247, 15108.0)	(248, 3373.0)	(249, 2128.0)	(250, 10506.0)
Fungus_70_2	(220, 2.0)	(221, 1.0)	(222, 1.0)	(223, 1.0)	(224, 1.0)	(225, 0.0)	(226, 5.0)	(227, 1.0)	(228, 0.0)	(229, 2.0)	(230, 0.0)	(231, 2.0)	(232, 2.0)	(233, 1.0)	(234, 3.0)	(235, 3.0)	(236, 4.0)	(237, 5.0)	(238, 5.0)	(239, 9.0)	(240, 24.0)	(241, 9.0)	(242, 14.0)	(243, 39.0)	(244, 329.0)	(245, 8902.0)	(246, 10447.0)	(247, 10684.0)	(248, 11294.0)	(249, 11671.0)	(250, 12450.0)
Fungus_71_1	(220, 3.0)	(221, 2.0)	(222, 1.0)	(223, 2.0)	(224, 3.0)	(225, 10.0)	(226, 25.0)	(227, 43.0)	(228, 24.0)	(229, 13.0)	(230, 15.0)	(231, 20.0)	(232, 1.0)	(233, 2.0)	(234, 7.0)	(235, 1.0)	(236, 10.0)	(237, 20.0)	(238, 822.0)	(239, 14.0)	(240, 16.0)	(241, 41.0)	(242, 29.0)	(243, 181.0)	(244, 732.0)	(245, 12357.0)	(246, 14666.0)	(247, 12444.0)	(248, 2578.0)	(249, 2020.0)	(250, 8257.0)
Fungus_71_2	(221, 4.0)	(222, 2.0)	(223, 2.0)	(224, 9.0)	(225, 8.0)	(226, 17.0)	(227, 15.0)	(228, 15.0)	(229, 49.0)	(230, 19.0)	(231, 26.0)	(232, 1.0)	(233, 3.0)	(234, 7.0)	(235, 3.0)	(236, 6.0)	(237, 11.0)	(238, 9.0)	(239, 10.0)	(240, 10.0)	(241, 10.0)	(242, 31.0)	(243, 56.0)	(244, 270.0)	(245, 8017.0)	(246, 9056.0)	(247, 7842.0)	(248, 9145.0)	(249, 9713.0)	(250, 9993.0)	
