Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Fungus_23_1	(1.0, 2.439367861054608)	(2.0, 1.1797840713503365)	(3.0, 0.755750273822563)	(4.0, 0.569550930996714)	(5.0, 0.49288061336254113)	(6.0, 0.39430449069003287)	(7.0, 0.3614457831325301)	(8.0, 0.2879048662181192)	(9.0, 0.26756376153966516)	('>10', 6.2400250352057585)	('>50', 3.1090596150837113)	('>100', 12.894695665780004)	('>500', 2.2625567203880457)	('>1k', 5.125958378970427)	('>5k', 21.841652323580035)	('>10k+', 41.77749960882491)
Fungus_23_2	(1.0, 2.2218745110311375)	(2.0, 0.907526208731028)	(3.0, 0.6900328587075575)	(4.0, 0.5194805194805194)	(5.0, 0.5163511187607573)	(6.0, 0.36613988421217336)	(7.0, 0.5038335158817087)	(8.0, 0.3630104834924112)	(9.0, 0.25348145830073543)	('>10', 3.9680801126584258)	('>50', 0.4209043968080113)	('>100', 8.081677358785793)	('>500', 2.246909716789235)	('>1k', 5.132217180409952)	('>5k', 40.258175559380376)	('>10k+', 33.55030511657018)
Fungus_26_1	(1.0, 2.126674266172699)	(2.0, 1.2182958107722999)	(3.0, 0.9671558848674835)	(4.0, 0.719578227415218)	(5.0, 0.6412083214591051)	(6.0, 0.40609860359076655)	(7.0, 0.49871758335708183)	(8.0, 0.3419777714448561)	(9.0, 0.35266457680250785)	('>10', 6.730906241094329)	('>50', 3.918495297805643)	('>100', 9.960102593331435)	('>500', 3.038614990025648)	('>1k', 29.814405813622113)	('>5k', 14.202764320319181)	('>10k+', 25.062339697919633)
Fungus_26_2	(1.0, 1.9788401253918495)	(2.0, 0.9297520661157025)	(3.0, 0.6251781134226275)	(4.0, 0.4844685095468795)	(5.0, 0.46309489883157595)	(6.0, 0.41678540894841837)	(7.0, 0.2618267312624679)	(8.0, 0.1852379595326304)	(9.0, 0.09618124821886577)	('>10', 2.7358221715588487)	('>50', 2.5594898831575947)	('>100', 10.994941578797377)	('>500', 5.45917640353377)	('>1k', 20.319179253348533)	('>5k', 9.97257053291536)	('>10k+', 42.5174551154175)
Fungus_42_1	(1.0, 2.3819261856071674)	(2.0, 1.6320966014217546)	(3.0, 1.2854221443178497)	(4.0, 1.10624208783718)	(5.0, 0.8861622358554875)	(6.0, 0.7712532865907099)	(7.0, 0.5589638718473074)	(8.0, 0.5297497322037199)	(9.0, 0.5609114811568799)	('>10', 5.840880319407927)	('>50', 2.6409582237803098)	('>100', 13.939039828610381)	('>500', 7.835232252410167)	('>1k', 31.582432564027656)	('>5k', 28.448729184925504)	('>10k+', 0.0)
Fungus_42_2	(1.0, 2.42282598110819)	(2.0, 1.4334404518453598)	(3.0, 1.1218229623137599)	(4.0, 0.9036907196416399)	(5.0, 0.7303534910896874)	(6.0, 0.60765410458662)	(7.0, 0.5453306066803)	(8.0, 0.37394098743792)	(9.0, 0.36809815950920244)	('>10', 3.4784302268964846)	('>50', 1.0322329340734249)	('>100', 6.245983055799006)	('>500', 11.730450871555167)	('>1k', 26.45827247054241)	('>5k', 14.28766189502386)	('>10k+', 28.259811081896974)
Fungus_45_1	(1.0, 2.4417919245505453)	(2.0, 1.0698496905393458)	(3.0, 0.8134394341290893)	(4.0, 0.5540819333922783)	(5.0, 0.39050987326849396)	(6.0, 0.33598585322723257)	(7.0, 0.47450633657530206)	(8.0, 0.4361921603300914)	(9.0, 0.3183023872679045)	('>10', 5.837017388741526)	('>50', 2.82640730916593)	('>100', 10.814913056292367)	('>500', 2.158856469201297)	('>1k', 21.320365458296493)	('>5k', 8.324491600353669)	('>10k+', 41.88328912466843)
Fungus_45_2	(1.0, 2.4344238137341585)	(2.0, 0.9106984969053935)	(3.0, 0.627763041556145)	(4.0, 0.3713527851458886)	(5.0, 0.22841143530798702)	(6.0, 0.27409372236958446)	(7.0, 0.1856763925729443)	(8.0, 0.27114647804302977)	(9.0, 0.1724137931034483)	('>10', 3.4541703507220753)	('>50', 1.1759504862953138)	('>100', 8.670792808723842)	('>500', 4.982316534040672)	('>1k', 27.69378131447097)	('>5k', 0.0)	('>10k+', 48.547008547008545)
Fungus_4_1	(1.0, 1.4822889649037077)	(2.0, 0.9021538924181484)	(3.0, 0.6503025974514153)	(4.0, 0.436041048002105)	(5.0, 0.3633675400017542)	(6.0, 0.36086155696725936)	(7.0, 0.21927351551829996)	(8.0, 0.22052650703554738)	(9.0, 0.12404616020749538)	('>10', 4.418048089814432)	('>50', 1.6451778621458732)	('>100', 3.706348908017892)	('>500', 8.763422671628513)	('>1k', 14.074853713240362)	('>5k', 6.807502913205278)	('>10k+', 55.825784059441915)
Fungus_4_2	(1.0, 2.118808655665401)	(2.0, 0.9823453495219837)	(3.0, 0.7104461902792918)	(4.0, 0.5112205390369507)	(5.0, 0.6014359282787656)	(6.0, 0.37589745517422846)	(7.0, 0.3420666842085479)	(8.0, 0.29069403200140337)	(9.0, 0.3946923279329399)	('>10', 4.108559185054317)	('>50', 1.52990264255911)	('>100', 6.144670400581388)	('>500', 10.309614203911838)	('>1k', 8.698267112731648)	('>5k', 0.0)	('>10k+', 62.88137929306219)
