Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR6444250_1	SRR6444250_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21424.0	5.3 Mbp	0.0	248-251	50.0	3.790141896938014	250.99421209858104	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444250_2	SRR6444250_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21424.0	5.3 Mbp	0.0	245-251	50.0	9.582710978342046	250.13256161314413	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444251_1	SRR6444251_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41694.0	10.4 Mbp	0.0	248-251	49.0	2.1513886890200027	250.9937880750228	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444251_2	SRR6444251_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41694.0	10.4 Mbp	0.0	245-251	49.0	9.677651460641819	250.24970019667097	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444252_1	SRR6444252_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35486.0	8.8 Mbp	0.0	248-251	51.0	3.398523361325593	249.94927577072647	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444252_2	SRR6444252_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35486.0	8.9 Mbp	0.0	248-251	51.0	7.510003945217833	250.98709350166263	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444253_1	SRR6444253_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39479.0	9.9 Mbp	0.0	248-251	50.0	3.482864307606576	250.98966539172724	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444253_2	SRR6444253_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39479.0	9.8 Mbp	0.0	247-251	50.0	9.969857392537804	250.27039691988145	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444254_1	SRR6444254_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25478.0	6.3 Mbp	0.0	248-251	49.0	3.387236046785462	250.99391631996232	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444254_2	SRR6444254_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25478.0	6.3 Mbp	0.0	246-251	49.0	9.792762383232592	250.08756574299395	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444255_1	SRR6444255_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38912.0	9.7 Mbp	0.0	248-251	50.0	2.598170230263158	250.99344675164474	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444255_2	SRR6444255_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38912.0	9.7 Mbp	0.0	244-251	51.0	10.976048519736842	250.15540193256578	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444256_1	SRR6444256_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37316.0	9.3 Mbp	0.0	248-251	51.0	4.223389430807161	250.99292528674027	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444256_2	SRR6444256_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37316.0	9.3 Mbp	0.0	247-251	52.0	11.075677993354057	250.32516882838462	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444257_1	SRR6444257_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36363.0	9 Mbp	0.0	248-251	51.0	1.7077798861480076	250.01405274592307	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444257_2	SRR6444257_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36363.0	9.1 Mbp	0.0	248-251	52.0	4.900585760250804	250.98886230509035	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444258_1	SRR6444258_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30660.0	7.6 Mbp	0.0	248-251	51.0	3.874755381604697	249.93535551206784	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444258_2	SRR6444258_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30660.0	7.6 Mbp	0.0	248-251	51.0	7.749510763209394	250.9860404435747	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444259_1	SRR6444259_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49675.0	12.4 Mbp	0.0	248-251	50.0	3.2672370407649725	250.9873376950176	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444259_2	SRR6444259_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49675.0	12.4 Mbp	0.0	247-251	51.0	8.148968293910418	250.80917966784097	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444260_1	SRR6444260_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	243697.0	61.1 Mbp	0.0	248-251	50.0	1.2138023857495168	250.9922075364079	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444260_2	SRR6444260_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	243697.0	60.9 Mbp	0.0	229-251	50.0	9.057148836464954	250.07297176411691	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444261_1	SRR6444261_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65269.0	16.3 Mbp	0.0	248-251	52.0	2.820634604482986	250.99422390415052	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444261_2	SRR6444261_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65269.0	16.3 Mbp	0.0	59-251	52.0	14.43257901913619	250.5982625748824	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444262_1	SRR6444262_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16778.0	4.2 Mbp	0.0	248-251	51.0	6.496602694004053	250.99189414709738	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444262_2	SRR6444262_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16778.0	4.1 Mbp	0.0	246-251	52.0	18.54213851472166	250.1290380259864	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444263_1	SRR6444263_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9945.0	2.4 Mbp	0.0	248-251	52.0	4.444444444444445	250.9958773252891	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444263_2	SRR6444263_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9945.0	2.4 Mbp	0.0	246-251	53.0	12.046254399195576	250.11030668677728	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444264_1	SRR6444264_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23263.0	5.8 Mbp	0.0	248-251	49.0	3.258393156514637	250.994239779908	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444264_2	SRR6444264_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23263.0	5.8 Mbp	0.0	245-251	49.0	11.602114946481537	250.05317456905817	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444265_1	SRR6444265_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26538.0	6.6 Mbp	0.0	248-251	52.0	2.924108825081016	250.02404099781447	250	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444265_2	SRR6444265_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26538.0	6.6 Mbp	0.0	248-251	52.0	7.58911749189841	250.98681136483532	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444266_1	SRR6444266_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34948.0	8.7 Mbp	0.0	248-251	49.0	2.892869405974591	250.99482087673115	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444266_2	SRR6444266_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34948.0	8.7 Mbp	0.0	245-251	49.0	7.308000457823051	250.11402655373698	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444267_1	SRR6444267_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22641.0	5.6 Mbp	0.0	249-251	51.0	4.814274987853893	250.9886930789276	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444267_2	SRR6444267_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22641.0	5.6 Mbp	0.0	247-251	52.0	12.009186873371318	250.823241022923	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444268_1	SRR6444268_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18712.0	4.6 Mbp	0.0	249-251	49.0	3.0942710560068405	250.99283882000856	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444268_2	SRR6444268_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18712.0	4.6 Mbp	0.0	248-251	50.0	8.165882855921334	250.84127832407012	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444269_1	SRR6444269_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24417.0	6.1 Mbp	0.0	248-251	51.0	5.721423598312652	250.99246426669944	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444269_2	SRR6444269_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24417.0	6.1 Mbp	0.0	247-251	52.0	12.356145308596469	250.82405700946063	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444270_1	SRR6444270_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42299.0	10.6 Mbp	0.0	248-251	52.0	3.7140357928083407	250.99541360315845	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444270_2	SRR6444270_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42299.0	10.5 Mbp	0.0	245-251	53.0	10.170453202203362	250.1167403484716	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444271_1	SRR6444271_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41980.0	10.5 Mbp	0.0	248-251	52.0	3.5254883277751308	250.99399714149595	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444271_2	SRR6444271_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41980.0	10.5 Mbp	0.0	246-251	53.0	9.680800381133874	250.16757979990473	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444272_1	SRR6444272_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22332.0	5.6 Mbp	0.0	248-251	51.0	5.00179115171055	250.99005910800645	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
