Sample	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
SRR6444484_1	96.67571234735414	51.0	250.99425457937585	251	40.0	47168.0
SRR6444484_2	89.31478968792402	51.0	250.96843198778834	251	50.0	47168.0
SRR6444485_1	95.06510527965354	51.0	250.9822491950879	251	40.0	35097.0
SRR6444485_2	89.41789896572357	52.0	250.14494116306236	250	50.0	35097.0
SRR6444486_1	96.28106725146199	49.0	250.9909996345029	251	40.0	21888.0
SRR6444486_2	86.39437134502924	49.0	250.71335891812865	251	50.0	21888.0
SRR6444487_1	96.77530090755005	52.0	250.9941213070437	251	40.0	46609.0
SRR6444487_2	89.88607350511704	53.0	250.12512604861723	250	50.0	46609.0
SRR6444488_1	95.51111648139198	50.0	250.99015224746253	251	40.0	16552.0
SRR6444488_2	86.34001933301111	51.0	250.15345577573706	250	50.0	16552.0
SRR6444489_1	97.37759258972413	50.0	250.9887854520671	251	40.0	64559.0
SRR6444489_2	90.6566086835298	51.0	250.12153224182532	250	50.0	64559.0
SRR6444490_1	97.2724851282962	51.0	250.99273728136376	251	40.0	56315.0
SRR6444490_2	91.73932344845956	51.0	250.96413033827577	251	40.0	56315.0
SRR6444491_1	97.7027827116637	48.0	250.99502664298402	251	40.0	25335.0
SRR6444491_2	92.7452141306493	49.0	250.09358594829288	250	50.0	25335.0
SRR6444492_1	97.10770841512891	51.0	250.019456441129	250	40.0	22923.0
SRR6444492_2	92.85870086812372	52.0	250.9890502988265	251	40.0	22923.0
SRR6444493_1	97.27272727272727	52.0	250.11087003688436	250	40.0	46090.0
SRR6444493_2	94.32631807333478	52.0	250.98507268387937	251	40.0	46090.0
SRR6444494_1	95.95294117647059	53.0	249.97030065359476	250	40.0	19125.0
SRR6444494_2	91.0483660130719	53.0	250.98922875816993	251	40.0	19125.0
SRR6444495_1	95.99166859523258	49.0	250.99222402221707	251	40.0	21605.0
SRR6444495_2	86.29483915760241	50.0	250.09289516315667	250	50.0	21605.0
SRR6444496_1	96.19642016015072	52.0	249.80964437117288	250	40.0	33968.0
SRR6444496_2	91.51554404145078	53.0	250.98645784267546	251	40.0	33968.0
SRR6444497_1	97.3110338835795	49.0	250.99302780191138	251	40.0	46040.0
SRR6444497_2	88.81624674196351	50.0	250.95873153779323	251	50.0	46040.0
SRR6444498_1	96.5254509569927	50.0	249.94799651168128	250	40.0	21787.0
SRR6444498_2	90.73300592096204	51.0	250.98457795933354	251	40.0	21787.0
SRR6444499_1	96.04265707310806	51.0	250.99306180136193	251	40.0	7783.0
SRR6444499_2	86.59899781575228	51.0	250.34048567390465	250	50.0	7783.0
SRR6444500_1	95.2471541223037	51.0	250.98821760608757	251	40.0	32591.0
SRR6444500_2	84.21956981988893	52.0	250.74839679666167	251	40.0	32591.0
SRR6444501_1	94.3174484562345	52.0	250.95924051492815	251	40.0	29441.0
SRR6444501_2	87.64308277572093	53.0	250.80000679324752	251	40.0	29441.0
SRR6444502_1	95.49266845438467	51.0	250.99289667370343	251	40.0	35054.0
SRR6444502_2	86.74331032121869	52.0	250.1332515547441	250	50.0	35054.0
